lemma	pos	en_word	en_definition	sentence	code	wn_definition	confidence
A	SUBST	eye	organ of sight	déi Blus passt gutt bei deng blo Aen 	A1UNI1	the organ of sight	0.9635758399963379
A	SUBST	pip	on a dice	e Wierfel huet sechs Säiten an 21 Aen 	A1UNI4	a mark on a die or on a playing card (shape depending on the suit)	0.37031060457229614
Aachtchen	SUBST	eight	playing card	et feelt eng Aachtchen an dengem Kaartespill 	AACHTCHEN1UNI2	one of four playing cards in a deck with eight pips on the face	0.5873141288757324
Aarbecht	SUBST	work	activity	hien huet vill Freed u senger Aarbecht 	AARBECHT1UNI1	activity directed toward making or doing something	0.5636897683143616
Aarbecht	SUBST	work	tasks to be completed, jobs	d'Aarbechten um Chantier gi séier virun 	AARBECHT1UNI2	the occupation for which you are paid	0.48910754919052124
Aarbecht	SUBST	work	employment	huet däi Brudder endlech eng Aarbecht fonnt? 	AARBECHT1UNI3	the occupation for which you are paid	0.5659403204917908
Aarbecht	SUBST	work	result, product	um Enn vum Joer mécht de President de Bilan vun der Aarbecht vum Club 	AARBECHT1UNI4	a product produced or accomplished through the effort or activity or agency of a person or thing	0.5213654041290283
Aarbecht	SUBST	work	work quota	ech kann elo kee Congé huelen, ech hunn ze vill Aarbecht um Büro 	AARBECHT1UNI7	a place where work is done	0.30619046092033386
Aarbecht	SUBST	work	workplace	ech fueren all Dag dee selwechte Wee op d'Aarbecht 	AARBECHT1UNI8	a place where work is done	0.6062595248222351
Aarbecht	SUBST	work	working hours	ech maachen all Dag no der Aarbecht Sport 	AARBECHT1UNI9	a place where work is done	0.3862268626689911
Aarbechter	SUBST	worker	working person	hien ass e gudden Aarbechter 	AARBECHTER1UNI1	a person who works at a specific occupation	0.6555664539337158
Aarbechter	SUBST	worker	in a factory, on a construction site	de Kran, deen ëmgefall ass, huet zwee Aarbechter blesséiert 	AARBECHTER1UNI2	a member of the working class (not necessarily employed)	0.3275390863418579
Aarbechtskraaft	SUBST	workforce	working capacity	Aarbechtskraaft a Kapital sinn zwee wichteg Begrëffer am Marxismus 	AARBECHTSKRAAFT1UNI1	the force of workers available	0.7135893702507019
Aarbechtskraaft	SUBST	workforce	person	well mir net genuch Personal hunn, si mer frou iwwer all zousätzlech Aarbechtskraaft 	AARBECHTSKRAAFT1UNI2	the force of workers available	0.10165170580148697
aarm	ADJ	poor	needy	vill Kanner aus aarme Famillje gi mueres hongereg an d'Schoul 	AARM1UNI1	not sufficient to meet a need	0.37798041105270386
aarm	ADJ	poor	pitiable	deem aarme Meedche geschéien nëmmen Onglécker 	AARM1UNI2	deserving or inciting pity; ; ; - Galsworthy	0.4900904893875122
aarm	ADJ	poor	barren	an aarme Biedem wiisst net vill 	AARM1UNI3	lacking in specific resources, qualities or substances	0.37959250807762146
Aarm	SUBST	arm	limb	kuck, du hues en Himmelsdéierchen um Aarm sëtzen! 	AARM2UNI1	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb	0.5512720346450806
Aarm	SUBST	branch	of a river	de Floss spléckt sech an zwee Äerm 	AARM2UNI2	a stream or river connected to a larger one	0.6543627381324768
Aasch	SUBST	arse	bottom	setz dech op däin Aasch an da mucks de dech net méi! 	AASCH1UNI1	the fleshy part of the human body that you sit on	0.3005387783050537
Aasch	SUBST	arse	insult	du Aasch ! 	AASCH1UNI2	vulgar slang for anus	0.3446686863899231
Aaschlach	SUBST	arsehole	anus	däin Hond ass ganz wond um Aaschlach 	AASCHLACH1UNI1	vulgar slang for anus	0.6598153710365295
Aaschlach	SUBST	arsehole	insult	du Aaschlach ! 	AASCHLACH1UNI2	vulgar slang for anus	0.34466859698295593
Aascht	SUBST	branch	of a tree	d'Äscht vun där aler Eech maachen eis Schiet 	AASCHT1UNI1	a part of a forked or branching shape	0.4176134765148163
abannen	VRB	to cover	a book	fir de Schoulufank musse mer deng Bicher nach abannen 	ABANNEN1UNI1	copulate with a female, used especially of horses	0.21714471280574799
abéissen	VRB	to lose	to cease to have	eis Partei huet bei de leschte Wale vill Stëmmen agebéisst 	ABEISSEN1UNI1	fail to keep or to maintain; cease to have, either physically or in an abstract sense	0.5798302888870239
abetonéieren	VRB	to concrete	to fix in concrete	d'Aarbechter hu Pottoe laanscht d'Strooss abetonéiert 	ABETONEIEREN1UNI1	cover with cement	0.549929141998291
abezuelen	VRB	to contribute	to make a regular payment	meng Mamm bezilt all Mount an d'Pensiounskeess an 	ABEZUELEN1UNI2	provide	0.23689958453178406
abiergeren	VRB	to naturalise	a person	no der Aféierung vun der duebeler Nationalitéit goufe vill Auslänner agebiergert 	ABIERGEREN1UNI2	make more natural or lifelike	0.09092319011688232
abiergeren	VRB	to naturalise	species, plant	mëttlerweil huet den nordamerikanesche Wäschbier sech an Europa agebiergert 	ABIERGEREN1UNI3	adapt (a wild plant or unclaimed land) to the environment	0.3627703785896301
Abildung	SUBST	illusion	false belief	hie war iwwerzeegt, hie géif gemobbt, mee et war alles nëmmen Abildung 	ABILDUNG1UNI1	something many people believe that is false	0.6606168746948242
Abléck	SUBST	moment	instant	ech hunn en Abléck nogeduecht, ier ech meng Entscheedung geholl hunn 	ABLECK1UNI1	an indefinitely short time	0.37898653745651245
Abléck	SUBST	moment	point in time	dat war en historeschen Abléck 	ABLECK1UNI2	a particular point in time	0.6692096590995789
ablenden	VRB	to show	to insert into a film sequence	d'Bild vum Vermësste gouf an den Noriichten ageblent 	ABLENDEN1UNI1	show in, or as in, a picture	0.32876431941986084
abordéieren	VRB	to address	to touch on	ech hu mech net getraut, dee Problem ze abordéieren 	ABORDEIEREN1UNI1	act on verbally or in some form of artistic expression	0.2924986481666565
Abouss	SUBST	loss	disadvantage	duerch d'Iwwerschwemmunge rechnen déi geschiedegt Geschäftsleit mat staarken Aboussen 	ABOUSS1UNI1	the disadvantage that results from losing something	0.6061055660247803
abréngen	VRB	to fetch	money	seng Konschtwierker hunn eréischt no sengem Doud Suen abruecht 	ABRENGEN1UNI2	be sold for a certain price	0.3220764994621277
Abriecherin	SUBST	burglar	female	d'Abriecherin ass in flagranti vun der Police erwëscht ginn 	ABRIECHERIN1UNI1	a thief who enters a building with intent to steal	0.15417872369289398
Abroch	SUBST	collapse	economical	de wirtschaftlechen Abroch wäert negativ Konsequenzen op den Aarbechtsmaart hunn 	ABROCH1UNI2	a sudden large decline of business or the prices of stocks (especially one that causes additional failures)	0.16544444859027863
abrocken	VRB	to cause	bother	komm elo net kräischen, dat do hues de der selwer agebrockt 	ABROCKEN1UNI1	cause to do; cause to act in a specified manner	0.15753093361854553
abscheilech	ADJ	disgusting	sickening	vu wou kënnt deen abscheileche Geroch? 	ABSCHEILECH1UNI1	highly offensive; arousing aversion or disgust	0.3251868486404419
abscheilech	ADJ	disgusting	abominable	wéinst sengen abscheilechen Dote souz hie bis zu sengem Liewensenn am Prisong 	ABSCHEILECH1UNI2	highly offensive; arousing aversion or disgust	0.46285682916641235
