lemma	pos	de_word	de_definition	sentence	wn_definition
A	SUBST	Auge	Sehorgan	déi Blus passt gutt bei deng blo Aen 	das Organ des Sehens
A	SUBST	Auge	Sehorgan	hie kuckt mam rietsen A an déi lénks Täsch 	das Organ des Sehens
A	SUBST	Auge	eines Würfels	e Wierfel huet sechs Säiten an 21 Aen 	das Organ des Sehens
A	SUBST	blaues Auge	Hämatom	mäi blot A kënnt dohier, datt ech beim Plënneren engem Kolleeg säin Ielebou op d'A krut 	ein geschwollener Bluterguss, der durch einen Schlag auf das Auge verursacht wird.
Aacht	SUBST	Acht	Ziffer	d'Kanner hu missen eng ganz Rei Aachten an hiert Heft schreiwen 	seitliche Abweichung der Spur eines Rades aus seiner Ebene an einer oder mehreren Stellen
Aachtchen	SUBST	Acht	Spielkarte	et feelt eng Aachtchen an dengem Kaartespill 	eine von vier Spielkarten in einem Deck mit acht Pips auf der Vorderseite
Aachtchen	SUBST	Acht	im Rad	wéinst enger Aachtchen hunn ech mäi Vëlo missen an d'Reparatur ginn 	seitliche Abweichung der Spur eines Rades aus seiner Ebene an einer oder mehreren Stellen
Aangel	SUBST	Angel	Fischfanggerät	kuck, wat huet deen en décke Fësch un der Aangel ! 	Ausrüstung für den Fischfang
Aarbecht	SUBST	Arbeit	Beschäftigung, Tätigkeit	hien huet vill Freed u senger Aarbecht 	berufliche Position
Aarbecht	SUBST	Arbeit	Arbeitsprozess	d'Aarbechten um Chantier gi séier virun 	die Ausführung einer Arbeit
Aarbecht	SUBST	Arbeit	Ergebnis, Produkt	um Enn vum Joer mécht de President de Bilan vun der Aarbecht vum Club 	die Ausführung einer Arbeit
Aarbecht	SUBST	Tag der Arbeit	gesetzlicher Feiertag	den Éischte Mee gëtt och Dag vun der Aarbecht genannt 	erster Montag im September in den Vereinigten Staaten und Kanada
Aarbecht	SUBST	Arbeit	zu bewältigendes Pensum	ech kann elo kee Congé huelen, ech hunn ze vill Aarbecht um Büro 	die Ausführung einer Arbeit
Aarbecht	SUBST	Arbeit	Arbeitsort	ech fueren all Dag dee selwechte Wee op d'Aarbecht 	die Ausführung einer Arbeit
Aarbecht	SUBST	Arbeit	Arbeitszeit	ech maachen all Dag no der Aarbecht Sport 	die Ausführung einer Arbeit
Aarbechter	SUBST	Arbeiter	arbeitende Person	hien ass e gudden Aarbechter 	jmd., der beruflich körperliche Arbeit verrichtet
