lemma	pos	en_word	en_definition	sentence	code	wn_definition	confidence	lux_definition
A	SUBST	eye	organ of sight	déi Blus passt gutt bei deng blo Aen 	A1UNI1	the organ of sight	0.963575839996338	d'Sehorgan
A	SUBST	eye	organ of sight	hie kuckt mam rietsen A an déi lénks Täsch 	A1UNI1_EGS	the organ of sight	0.963575839996338	d'Sehorgan
Aarbecht	SUBST	work	employment	huet däi Brudder endlech eng Aarbecht fonnt? 	AARBECHT1UNI3	be employed	0.7474806308746338	beschäftegt sinn
Aarbecht	SUBST	work	workplace	ech fueren all Dag dee selwechte Wee op d'Aarbecht 	AARBECHT1UNI8	a place where work is done	0.6062593460083008	eng Plaz wou d'Aarbecht gemaach gëtt
Aarbechter	SUBST	worker	working person	hien ass e gudden Aarbechter 	AARBECHTER1UNI1	a person who works at a specific occupation	0.6555664539337158	eng Persoun déi an engem bestëmmte Beruff schafft
Aarbechtskraaft	SUBST	workforce	working capacity	Aarbechtskraaft a Kapital sinn zwee wichteg Begrëffer am Marxismus 	AARBECHTSKRAAFT1UNI1	the force of workers available	0.7135893702507019	d'Kraaft vun den Aarbechter verfügbar
Aarm	SUBST	branch	of a river	de Floss spléckt sech an zwee Äerm 	AARM2UNI2	a stream or river connected to a larger one	0.654362678527832	e Stroum oder Floss, deen mat engem méi groussen Stroum oder Floss verbonne ass
Aaschlach	SUBST	arsehole	anus	däin Hond ass ganz wond um Aaschlach 	AASCHLACH1UNI1	vulgar slang for anus	0.6598153710365295	vulgär Slang fir Anus
Abildung	SUBST	illusion	false belief	hie war iwwerzeegt, hie géif gemobbt, mee et war alles nëmmen Abildung 	ABILDUNG1UNI1	something many people believe that is false	0.6606168746948242	eppes wat vill Leit gleewen, datt falsch ass
Abléck	SUBST	moment	point in time	dat war en historeschen Abléck 	ABLECK1UNI2	a particular point in time	0.6692096590995789	e bestëmmte Punkt an der Zäit
Abouss	SUBST	loss	disadvantage	duerch d'Iwwerschwemmunge rechnen déi geschiedegt Geschäftsleit mat staarken Aboussen 	ABOUSS1UNI1	the disadvantage that results from losing something	0.6061055660247803	de Nachteil, deen aus dem Verloscht vu eppes kënnt
