lemma	pos	en_word	en_definition	sentence	wn_definition	confidence	lux_definition
A	SUBST	eye	organ of sight	déi Blus passt gutt bei deng blo Aen 	the organ of sight	0.963575839996338	dat Organ fir ze gesinn
A	SUBST	eye	organ of sight	hie kuckt mam rietsen A an déi lénks Täsch 	the organ of sight	0.963575839996338	d'Organ vum Gesinn
alliéiert	ADJ	allied	by treaty, by agreement	déi alliéiert Zaldote goufen agesat, fir de Fridden ze sécheren 	joined by treaty or agreement	0.80345618724823	duerch en Traité oder Ofkommes verbonnen
anachronistesch	ADJ	anachronistic	misplaced chronologically	eng Auer an engem Film iwwer d'Urmënschen ass en anachronistescht Element 	chronologically misplaced	0.9727715849876404	chronologesch net richteg placéiertelement
Ännerung	SUBST	change	modification, alteration	d'Deputéiert hunn eng Ännerung vum Gesetzestext virgeschloen 	the result of alteration or modification	0.8138492107391357	d'Resultat vun enger Ännerung oder Upassung
Ännerung	SUBST	change	modification, alteration	et ass eng Ännerung an der Luucht 	the result of alteration or modification	0.8138492107391357	d'Resultat vun enger Verännerung oder Modifikatioun
antik	ADJ	ancient	very old	d'Archeologe sinn op d'Ruine vun engem anticken Theater aus der Réimerzäit gestouss 	very old	1.0	ganz al
apostoulesch	ADJ	apostolic	relating to the Apostles	mir goufe geléiert, un déi eng, helleg, kathoulesch an apostoulesch Kierch ze gleewen 	of or relating to or deriving from the Apostles or their teachings	0.846702516078949	Bezitt sech op oder staamt vun den Apostelen oder hiren Enseignementer of
athleetesch	ADJ	athletic	relating to athletics	ech bréngen déi komplizéiert athleetesch Übungen do net fäerdeg 	relating to or befitting athletics or athletes	0.8543497323989868	bezunn op oder passend fir Athletik oder Sportler
autistesch	ADJ	autistic	characteristic of autism	a sengem Behuele weist d'Kand autistesch Symptomer 	characteristic of or affected with autism	0.8913791179656982	Charakteristesch fir oder betraff vun Autismus
Balance	SUBST	balance	equilibrium	de Seeldänzer däerf d'Balance net verléieren, soss riskéiert en erofzefalen 	be in equilibrium	0.8582607507705688	am Gläichgewiicht sinn
Band	SUBST	gang	group of criminals	eng Band Täschendéif mécht d'Stad onsécher 	an association of criminals	0.8289496302604675	eng Vereenegung vu Kriminellen
bestralen	VRB	to irradiate	to expose to radiation	deen Tumeur muss bestraalt ginn 	expose to radiation	0.8806604743003845	u Stralung ausgesat ginn
Bëtschel	SUBST	kid	young goat	mir hunn um Véimaart zwee Bëtschele kaaft 	young goat	1.0000001192092896	jonke Geess
Bëtschel	SUBST	kid	young goat	elo ass d'Bëtschel fett! 	young goat	1.0000001192092896	jonk Geess
blockéieren	VRB	to block	to obstruct	d'Demonstrante blockéieren d'Strooss 	obstruct	0.8667787313461304	versperren
braconéieren	VRB	to poach	to hunt illegally	an der Zäit hunn d'Leit dacks aus Nout braconéiert 	hunt illegally	0.8201436400413513	illegal jäizen
datéieren	VRB	to date	to mark with a date	de Bréif muss nach datéiert ginn 	stamp with a date	0.8002471327781677	mat engem Datum stempele
Datum	SUBST	date	day of the month or year	kommt, mir verleeën d'Versammlung op e spéideren Datum ! 	the specified day of the month	0.8252881765365601	den spezifeschen Dag am Mount
Disziplin	SUBST	discipline	branch of knowledge	ass d'Homeopathie als wëssenschaftlech Disziplin unerkannt? 	a branch of knowledge	0.9599902629852296	eng Branche vum Wëssen
Dominikaner	SUBST	Dominican	person from the Dominican Republic	mäi beschte Frënd ass Dominikaner 	a native or inhabitant of the Dominican Republic	0.8251112103462219	en Awunner oder Inländer vun der Dominikanescher Republik
dout maachen	VRB	to kill	to cause the death of	hien ass esou en duusse Kärel, e kann net emol eng Méck dout maachen 	cause to die; put to death, usually intentionally or knowingly	0.8040356636047363	verursaache fir ze stierwen; normalerweis absichtlech oder bewosst ëmbréngen
dreckeg	ADJ	dirty	dishonest, unethical	eis Clique gouf an eng dreckeg Affär eragezunn 	unethical or dishonest	0.9217058420181274	onethesch oder éierlechkeetsschéinend
dreckeg	ADJ	dirty	dishonest, unethical	mir geet et am Ament zimmlech dreckeg ! 	unethical or dishonest	0.9217058420181274	onethesch oder onéierlech
ënnerierdesch	ADJ	underground	beneath the ground	op der Maartplaz gëtt en neien ënnerierdesche Parking gebaut 	beneath the surface of the earth	0.8629878759384155	ënner der Uewerfläch vun der Äerd
Equiliber	SUBST	balance	equilibrium	de Cyclist huet den Equiliber verluer an ass vum Vëlo gefall 	be in equilibrium	0.8582607507705688	am Equiliber sinn
erschafen	VRB	to create	to bring into existence	der Bibel no gouf d'Welt vu Gott erschafen 	bring into existence	0.8873504400253296	an d'Existenz bréngen
Exzess	SUBST	excess	overindulgence	mat sengen Exzesser ruinéiert e seng Gesondheet 	excessive indulgence	0.8836401104927063	iwwerdriffent Noléissegkeet oder Genoss
Faveur	SUBST	favour	act of kindness	kéint Dir mir eng Faveur maachen? 	an act of gracious kindness	0.8609245419502258	Eng Akt vu léiwer Frëndlechkeet
feelschloen	VRB	to fail	to be unsuccessful	all eis Versich si feelgeschloen 	be unsuccessful	0.8628107905387878	net erfollegräich sinn
Feind	SUBST	enemy	personal enemy	hien huet keng Feinden , hie verdréit sech mat jidderengem! 	a personal enemy	0.9231346249580384	e perséinleche Géigner
Feind	SUBST	enemy	personal enemy	bei esou Frënn brauch ee keng Feinden 	a personal enemy	0.9231346249580384	e perséinleche Géigner
fëllen	VRB	to fill	to become full	de Festsall huet sech lues a lues gefëllt 	become full	0.8890049457550049	voll ginn
Fënster	SUBST	window	opening, window frame, pane of glass	mir kréie méi eng grouss Fënster an der Stuff 	a pane of glass in a window	0.8491140604019165	eng Glasplack an enger Fënster
Fënster	SUBST	window	opening, window frame, pane of glass	hien huet (mat béiden Hänn) d'Suen zur Fënster erausgehäit 	a pane of glass in a window	0.8491140604019165	eng Glasplack an enger Fënster
fir	PREP	first	before something else	fir d'éischt gëtt geléiert an da kanns de spille goen! 	before anything else	0.8542120456695557	virun allem aneren
Forschett	SUBST	fork	item of cutlery	ech iessen de Poulet mat Messer a Forschett 	cutlery used for serving and eating food	0.8095357418060303	Bestëck dat benotzt gëtt fir Iessen z'ënnerdéngen an z'iessen
Forschett	SUBST	fork	item of cutlery	an där Wiertschaft schreiwen se mat der Forschett op! 	cutlery used for serving and eating food	0.8095357418060303	Besteck, dat fir d'Iessen zerwéieren an iessen benotzt gëtt
fréizäiteg	ADJ	early	at an early stage	eng fréizäiteg Kriibsdiagnos ka Liewe retten 	during an early stage	0.8407450318336487	während enger fréier Etapp
