lemma	pos	en_word	en_definition	sentence	code	wn_definition	confidence	lux_definition
A	SUBST	eye	organ of sight	déi Blus passt gutt bei deng blo Aen 	A1UNI1	the organ of sight	0.963575839996338	Den Organ vum Sehen.
A	SUBST	eye	organ of sight	hie kuckt mam rietsen A an déi lénks Täsch 	A1UNI1_EGS	the organ of sight	0.963575839996338	D'Organ vum Gesiicht
alliéiert	ADJ	allied	by treaty, by agreement	déi alliéiert Zaldote goufen agesat, fir de Fridden ze sécheren 	ALLIEIERT1UNI1	joined by treaty or agreement	0.80345618724823	Verbonden duerch eng Accord oder Areechegung
anachronistesch	ADJ	anachronistic	misplaced chronologically	eng Auer an engem Film iwwer d'Urmënschen ass en anachronistescht Element 	ANACHRONISTESCH1UNI2	chronologically misplaced	0.9727715849876404	Chronologesch falsch plazéiert
Ännerung	SUBST	change	modification, alteration	d'Deputéiert hunn eng Ännerung vum Gesetzestext virgeschloen 	ANNERUNG1UNI1	the result of alteration or modification	0.8138492107391357	D'Resultat vun enger Ännerung oder Modifikatioun
Ännerung	SUBST	change	modification, alteration	et ass eng Ännerung an der Luucht 	ANNERUNG1UNI1_EGS	the result of alteration or modification	0.8138492107391357	Den Resultat vun enger Ännerung oder Modifikatioun
antik	ADJ	ancient	very old	d'Archeologe sinn op d'Ruine vun engem anticken Theater aus der Réimerzäit gestouss 	ANTIK1UNI2	very old	1.0	ganz al
apostoulesch	ADJ	apostolic	relating to the Apostles	mir goufe geléiert, un déi eng, helleg, kathoulesch an apostoulesch Kierch ze gleewen 	APOSTOULESCH1UNI1	of or relating to or deriving from the Apostles or their teachings	0.846702516078949	Vu oder bezéie sech op d'Apostelen oder hiert Léier.
athleetesch	ADJ	athletic	relating to athletics	ech bréngen déi komplizéiert athleetesch Übungen do net fäerdeg 	ATHLEETESCH1UNI1	relating to or befitting athletics or athletes	0.8543497323989868	Bezunn op oder passend fir Athletics oder Athleten
autistesch	ADJ	autistic	characteristic of autism	a sengem Behuele weist d'Kand autistesch Symptomer 	AUTISTESCH1UNI2	characteristic of or affected with autism	0.8913791179656982	Eegeschaft vun oder betraff vun Autismus.
Balance	SUBST	balance	equilibrium	de Seeldänzer däerf d'Balance net verléieren, soss riskéiert en erofzefalen 	BALANCE1UNI1	be in equilibrium	0.8582607507705688	An Equilibrum sinn
Band	SUBST	gang	group of criminals	eng Band Täschendéif mécht d'Stad onsécher 	BAND2UNI2	an association of criminals	0.8289496302604675	Eng Vereenegung vu Kriminellen
