lemma	pos	en_word	en_definition	sentence	code	wn_definition	confidence	lux_definition
A	SUBST	eye	organ of sight	déi Blus passt gutt bei deng blo Aen 	A1UNI1	the organ of sight	0.963575839996338	D'Organ mat där ee gesäit.
A	SUBST	eye	organ of sight	hie kuckt mam rietsen A an déi lénks Täsch 	A1UNI1_EGS	the organ of sight	0.963575839996338	D'Organ mat där ee gesäit.
Aarbecht	SUBST	work	employment	huet däi Brudder endlech eng Aarbecht fonnt? 	AARBECHT1UNI3	be employed	0.7474806308746338	Eng Plaz hunn
Aarbecht	SUBST	work	workplace	ech fueren all Dag dee selwechte Wee op d'Aarbecht 	AARBECHT1UNI8	a place where work is done	0.6062593460083008	Eng Plaz, wou ee seng Aarbecht mécht.
Aarbechter	SUBST	worker	working person	hien ass e gudden Aarbechter 	AARBECHTER1UNI1	a person who works at a specific occupation	0.6555664539337158	eng Persoun, déi eng bestëmmt Aarbecht mécht
Aarbechtskraaft	SUBST	workforce	working capacity	Aarbechtskraaft a Kapital sinn zwee wichteg Begrëffer am Marxismus 	AARBECHTSKRAAFT1UNI1	the force of workers available	0.7135893702507019	D'Zuel vun den disponibelen Aarbechter.
Aarm	SUBST	branch	of a river	de Floss spléckt sech an zwee Äerm 	AARM2UNI2	a stream or river connected to a larger one	0.654362678527832	e Baach oder e Floss, deen an e méi grousse Floss leeft
Aaschlach	SUBST	arsehole	anus	däin Hond ass ganz wond um Aaschlach 	AASCHLACH1UNI1	vulgar slang for anus	0.6598153710365295	vulgäre Slang fir den Hannergebitt vum Kierper
Abildung	SUBST	illusion	false belief	hie war iwwerzeegt, hie géif gemobbt, mee et war alles nëmmen Abildung 	ABILDUNG1UNI1	something many people believe that is false	0.6606168746948242	Eppes, wou vill Leit dru gleewen, wat awer net stëmmt.
Abléck	SUBST	moment	point in time	dat war en historeschen Abléck 	ABLECK1UNI2	a particular point in time	0.6692096590995789	ee bestëmmte Moment an der Zäit
Abouss	SUBST	loss	disadvantage	duerch d'Iwwerschwemmunge rechnen déi geschiedegt Geschäftsleit mat staarken Aboussen 	ABOUSS1UNI1	the disadvantage that results from losing something	0.6061055660247803	den Nodeel, deen entsteet, wann een eppes verléiert
Absence	SUBST	absence	non-presence	wat ass wärend menger Absence geschitt? 	ABSENCE1UNI1	the state of being absent	0.6362860798835754	Den Zoustand net do ze sinn
Abus	SUBST	abuse	misuse	a Saache Jugendaarbecht mussen all méiglech Abuse verhënnert ginn 	ABUS1UNI1	use wrongly or improperly or excessively	0.6524301171302795	Eppes op eng falsch, onpassend oder iwwerméisseg Manéier benotzen.
Acajou	SUBST	mahogany	wood	mäi Kleederschaf ass aus Acajou 	ACAJOU1UNI1	wood of any of various mahogany trees; much used for cabinetwork and furniture	0.6908831000328064	Holz vu verschiddene Mahagonibeem, dat vill fir Miwwelen an Holzschräinerei benotzt gëtt.
Acceleratioun	SUBST	acceleration	increase in speed	duerch d'Acceleratioun ginn d'Leit am Fliger an de Sëtz gedréckt 	ACCELERATIOUN1UNI2	the act of accelerating; increasing the speed	0.6393970847129822	Den Akt vum méi séier ginn; d'Erhéijung vun der Vitesse.
Accès	SUBST	access	way, entrance	den Accès an d'Schigebitt ass komplett zougeschneit 	ACCES1UNI3	a way of entering or leaving	0.6635811924934387	E Wee fir eran oder eraus ze goen
Accident	SUBST	accident	crash, mishap	gëschter Owend hat e jonke Chauffer e schwéiert Accident 	ACCIDENT1UNI1	an unfortunate mishap; especially one causing damage or injury	0.6399228572845459	En onerwaart Ongléck, besonnesch eent, dat Schued oder Verletzunge verursaacht.
adoptéieren	VRB	to pass	a bill, a law	de Gesetzesprojet gouf an der Nuecht eestëmmeg adoptéiert 	ADOPTEIEREN1UNI3	make laws, bills, etc. or bring into effect by legislation	0.649472713470459	Gesetzer oder Virschrëften duerch gesetzlech Prozeduren a Kraaft setzen.
Äerdbier	SUBST	strawberry	fruit	ech hunn de Kuch mat enger Äerdbier dekoréiert 	AERDBIER1UNI3	sweet fleshy red fruit	0.7234505414962769	Séiss, safteg, rout Uebst.
Äerdbier	SUBST	strawberries	fruits	dëst Joer war d'Äerdbier fréi zeideg 	AERDBIER2UNI2	sweet fleshy red fruit	0.64866042137146	Séiss, fleischeg, rout Uebst.
Aféierung	SUBST	introduction	of something new	duerch d'Aféierung vum Computer huet d'Bürosaarbecht sech staark verännert 	AFEIERUNG1UNI1	the act of beginning something new	0.6319670677185059	D'Handlung fir eppes Neies unzefänken.
Affektatioun	SUBST	post	job	ech kréien eng Affektatioun bei der Gemeng 	AFFEKTATIOUN1UNI2	a job in an organization	0.6154343485832214	eng Plaz an enger Organisatioun
