lemma	pos	en_word	en_definition	de_word	de_definition	fr_word	fr_definition	sentence	code	wn_definition_en	confidence_en	wn_definition_de	confidence_de	wn_definition_fr	confidence_fr
A	SUBST	eye	organ of sight	Auge	Sehorgan	œil	organe visuel	déi Blus passt gutt bei deng blo Aen 	A1UNI1	the organ of sight	0.9635756015777588	das Organ des Sehens	0.8011726140975952		
A	SUBST	pip	on a dice	Auge	eines Würfels	point	d'un dé	e Wierfel huet sechs Säiten an 21 Aen 	A1UNI4	a mark on a die or on a playing card (shape depending on the suit)	0.37031084299087524				
A	SUBST	a	letter	A	Buchstabe	a	lettre	den A ass den éischte Buschtaf vun eisem Alphabet 	A4UNI1	the 1st letter of the Roman alphabet	0.4318584203720093				
Aachtchen	SUBST	eight	playing card	Acht	Spielkarte	huit	carte à jouer	et feelt eng Aachtchen an dengem Kaartespill 	AACHTCHEN1UNI2	one of four playing cards in a deck with eight pips on the face	0.5873145461082458	eine von vier Spielkarten in einem Deck mit acht Pips auf der Vorderseite	0.572595477104187	one of four playing cards in a deck with eight pips on the face	0.5873144268989563
Aangel	SUBST	fishing rod		Angel	Fischfanggerät	canne à pêche		kuck, wat huet deen en décke Fësch un der Aangel ! 	AANGEL1UNI1			Ausrüstung für den Fischfang	0.8050656318664551		
Aarbecht	SUBST	work	activity	Arbeit	Beschäftigung, Tätigkeit	travail	occupation, activité	hien huet vill Freed u senger Aarbecht 	AARBECHT1UNI1	activity directed toward making or doing something	0.5636898279190063	berufliche Position	0.7396752834320068		
Aarbecht	SUBST	work	tasks to be completed, jobs	Arbeit	Arbeitsprozess	travail	ensemble de tâches	d'Aarbechten um Chantier gi séier virun 	AARBECHT1UNI2	the occupation for which you are paid	0.48910754919052124	die Ausführung einer Arbeit	0.7674170136451721	a specific piece of work required to be done as a duty or for a specific fee	0.547063946723938
Aarbecht	SUBST	work	employment	Stelle		travail		huet däi Brudder endlech eng Aarbecht fonnt? 	AARBECHT1UNI3	the occupation for which you are paid	0.5659404993057251			the occupation for which you are paid	0.5659404993057251
Aarbecht	SUBST	work	result, product	Arbeit	Ergebnis, Produkt	travail	résultat, produit	um Enn vum Joer mécht de President de Bilan vun der Aarbecht vum Club 	AARBECHT1UNI4	a product produced or accomplished through the effort or activity or agency of a person or thing	0.521365225315094	Ergebnis menschlicher Arbeit, Dienstleistung	0.6559383869171143	an object worked on; a result produced by working	0.5339168310165405
Aarbecht	SUBST	work	work quota	Arbeit	zu bewältigendes Pensum	travail	tâche à accomplir	ech kann elo kee Congé huelen, ech hunn ze vill Aarbecht um Büro 	AARBECHT1UNI7	a place where work is done	0.3061904311180115				
Aarbecht	SUBST	work	workplace	Arbeit	Arbeitsort	travail	lieu de travail	ech fueren all Dag dee selwechte Wee op d'Aarbecht 	AARBECHT1UNI8	a place where work is done	0.6062594652175903	berufliche Position	0.6334482431411743	a place where work is done	0.6062594652175903
Aarbecht	SUBST	work	working hours	Arbeit	Arbeitszeit	travail	temps de travail	ech maachen all Dag no der Aarbecht Sport 	AARBECHT1UNI9	a place where work is done	0.38622671365737915	berufliche Position	0.5143057107925415		
Aarbechtskraaft	SUBST	workforce	working capacity	Arbeitskraft	Leistungskraft	force de travail		Aarbechtskraaft a Kapital sinn zwee wichteg Begrëffer am Marxismus 	AARBECHTSKRAAFT1UNI1	the force of workers available	0.7135892510414124				
Aarbechtskraaft	SUBST	workforce	person	Arbeitskraft	Person	travailleur		well mir net genuch Personal hunn, si mer frou iwwer all zousätzlech Aarbechtskraaft 	AARBECHTSKRAAFT1UNI2	the force of workers available	0.10165173560380936	Person, die in einer Firma oder Institution arbeitet	0.5432592630386353		
Aarbechtsplaz	SUBST	workplace		Arbeitsplatz	Arbeitsort	lieu de travail		vill Frontaliere musse wäit fueren, fir op hir Aarbechtsplaz ze kommen 	AARBECHTSPLAZ1UNI2			berufliche Position	0.6334483623504639		
