lemma,pos,en_word,en_definition,de_word,de_definition,fr_word,fr_definition,sentence,code,wn_definition_en,confidence_en,wn_definition_de,confidence_de,wn_definition_fr,confidence_fr,wn_definition,definition_language,confidence,lux_definition,gloss_with_example,gloss_without_example
Aangel,SUBST,fishing rod,,Angel,Fischfanggerät,canne à pêche,,"kuck, wat huet deen en décke Fësch un der Aangel ! ",AANGEL1UNI1,,,Ausrüstung für den Fischfang,0.8050656318664551,,,Ausrüstung für den Fischfang,German,0.8050656318664551,Ausrëschtung fir de Fëschfang,"En Instrument fir Fësch ze fänken, meeschtens e Staang mat Schnouer, Häkchen a Reel.","Aangel: e klenge Metall‑Haken, deen ee virun allem beim Fëschen benotzt fir d’Köder unzehaalen an de Fësch ze haken; och allgemeng e klengen Haken, z. B. fir Biller opzéhänken."
Aarbecht,SUBST,work,workplace,Arbeit,Arbeitsort,travail,lieu de travail,ech fueren all Dag dee selwechte Wee op d'Aarbecht ,AARBECHT1UNI8,a place where work is done,0.6062594652175903,,,a place where work is done,0.6062594652175903,a place where work is done,English,0.6062594652175903,"eng Plaz, wou geschafft gëtt","Aarbecht: eng Aktivitéit oder Beschäftegung, déi ee mécht fir eppes ze produzéieren oder ze leeschten, dacks als Beruff oder Job, fir Suen ze verdéngen; och de Plaz wou een schafft.","Aarbecht: Aktivitéit oder Leeschtung, déi ee mécht fir eppes z’erreechen oder Suen ze verdéngen; kann eng Beschäftegung, en Job oder all kierperlech a geeschteg Ustrengung sinn, déi op e Produkt oder Resultat ausgeriicht ass."
Aarbechtsdag,SUBST,day of work,,Arbeitstag,,journée de travail,,"et deet gutt, no engem haarden Aarbechtsdag e bëssen ze raschten ",AARBECHTSDAG1UNI1,,,"ein Tag, an dem gearbeitet wird",0.8099523782730103,,,"ein Tag, an dem gearbeitet wird",German,0.8099523782730103,"en Dag, op deem geschafft gëtt","Den “Aarbechtsdag” ass den Deel vum Dag, wou een op der Aarbecht ass oder seng berufflech Aufgaben erfëllt; et bezeechent och en Dag, deen duerch geschafft Aktivitéit ausgefëllt ass.","Den normale Dag, wou ee schafft oder e Beruff ausüübt; och am Sënn vun engem Standard-Betribsdag (méi laang wéi en Aarbechtsstonnenplang) am Géigesaz zu Weekend oder Feierdag."
Aarbechtsdag,SUBST,workday,,Werktag,,jour ouvrable,,den 23. Juni ass zu Lëtzebuerg keen Aarbechtsdag ,AARBECHTSDAG1UNI2,a day on which work is done,0.6800346374511719,,,,,a day on which work is done,English,0.6800346374511719,"en Dag, op deem geschafft gëtt","En Aarbechtsdag ass e regulären Dag, un deem een normalerweis schafft; am Géigesaz zu engem Weekend oder Feierdag.","En Dag, un deem ee schafft; an de meeschte Länner ee vun de fënnef bis sechs Deeg vun der Woch, wou normal Geschäfts‑ a Bürostonnen ofgedeckt sinn."
Aarbechtsgezei,SUBST,workwear,,Arbeitskleidung,,vêtements de travail (professionnels),,"de Patron stellt senge Leit d'Aarbechtsgezei , den Helm an d'Schong ",AARBECHTSGEZEI1UNI1,,,"Kleidung, die bei manueller Arbeit getragen wird",0.7755045890808105,,,"Kleidung, die bei manueller Arbeit getragen wird",German,0.7755045890808105,"Kleeder, déi bei Handaarbecht gedroe ginn.","Kleeder an Ausrëschtung fir d’Aarbecht, z. B. Uniformen, Helm, Sécherheetsschong, déi vum Patron gestallt ginn.","Kleeder a Schutzmaterial, déi een op der Aarbecht uleet, fir sech ze schützen oder e bestëmmte Beruffsstandard z’erfëllen (z. B. Overall, Sécherheetsschong, Helmen)."
Aarbechtsgrupp,SUBST,team,,Arbeitsgruppe,,groupe de travail,,beim neie Projet goufen d'Iddie vun eisem Aarbechtsgrupp leider net berücksichtegt ,AARBECHTSGRUPP1UNI1,,,eine organisierte Gruppe von Arbeitern,0.7205816507339478,,,eine organisierte Gruppe von Arbeitern,German,0.7205816507339478,eng organiséiert Grupp vu Aarbechter,"Eng Grupp vu Leit, déi zesummeschaffen, fir un engem bestëmmte Projet, Thema oder Problem ze schaffen an Ziler ze erreechen.","Eng Grupp vu Leit, déi zesumme fir eng bestëmmten Aufgab oder un engem Projet schaffen, dacks an engem Betrib, enger Schoul oder enger Organisatioun, fir Ziler ze definéieren, Léisungen ze erarbechten an d’Aarbecht ze koordinéieren."
Aarbechtskleedung,SUBST,workwear,,Arbeitskleidung,,vêtements de travail (professionnels),,"de Patron stellt senge Leit d'Aarbechtskleedung , den Helm an d'Schong ",AARBECHTSKLEEDUNG1UNI1,,,"Kleidung, die bei manueller Arbeit getragen wird",0.7755045890808105,,,"Kleidung, die bei manueller Arbeit getragen wird",German,0.7755045890808105,"Kleedung, déi bei manueller Aarbecht gedroen gëtt","Kleeder a Schutzsaachen, déi een op der Aarbecht undo gëtt (z. B. Overall, Helm, Sécherheetsschong), fir d’Aarbecht sécher a passend ze maachen.","Kleedung, déi fir d’Aarbecht geduecht ass a Schutz oder Eegnung fir spezifesch Beruffer bitt, wéi z. B. Uniformen, Sécherheets- a Funktiounskleeder."
Aarbechtskraaft,SUBST,workforce,working capacity,Arbeitskraft,Leistungskraft,force de travail,,Aarbechtskraaft a Kapital sinn zwee wichteg Begrëffer am Marxismus ,AARBECHTSKRAAFT1UNI1,the force of workers available,0.7135892510414124,,,,,the force of workers available,English,0.7135892510414124,"d'Kraaft vun Aarbechter, déi disponibel sinn","D’Fäegkeet an Zuel vu Leit, déi schaffen kënnen an disponibel sinn, also de mënschleche Ressource‑Potenzial vun enger Wirtschaft oder Gesellschaft (am Marxismus ee vun den haaptsächleche Produktiounsfaaktoren niewent dem Kapital).","Gesamtzuel oder Kapazitéit vun de Mënschen, déi fir d’Produktioun oder Servicer zur Verfügung stinn; kann d’Quantitéit (Zuel u Beschäftegten) oder d’Qualitéit/Leeschtung vun der Aarbecht, déi si leeschte kënnen, beschreiwen."
Aarbechtslosegkeet,SUBST,unemployment,,Arbeitslosigkeit,,chômage,,vill jonk Leit hunn Angscht virun der Aarbechtslosegkeet ,AARBECHTSLOSEGKEET1UNI1,,,"der Zustand, arbeitslos zu sein oder keine Arbeit zu haben",0.6853467226028442,,,"der Zustand, arbeitslos zu sein oder keine Arbeit zu haben",German,0.6853467226028442,"De Zoustand, net agestallt ze sinn oder keng Aarbecht ze hunn.","Zoustand, wou Leit keng Aarbecht hunn an dofir keen Akommes aus enger fester Beschäftegung kréien; d’Phänomen oder d’Rate vum net beschäftegte Deel vun der Bevëlkerung.","Zoustand oder Situatioun, an där Persounen, déi schaffen wëllen a kënne, keng bezuelte Aarbecht fannen; dacks gemooss als Prozentsaz vun der aktiver Bevëlkerung, déi op Aarbechtssich ass."
Aarbechtslosen,SUBST,unemployed person,,Arbeitsloser,,chômeur,,déi Aarbechtslos musse sech reegelméisseg beim Aarbechtsamt presentéieren ,AARBECHTSLOSEN1UNI1,,,"jemand, der ohne Arbeit ist",0.7227320671081543,someone who is jobless,0.8334745764732361,"jemand, der ohne Arbeit ist",German,0.7227320671081543,"een, deen keng Aarbecht huet","Persounen, déi keng Aarbecht hunn an op Aarbecht sichen, dacks mat Recht op Aarbechtslosengeld oder aner Ënnerstëtzung.","Leit, déi keng Beschäftegung hunn an aktiv no enger Aarbecht sichen oder op eng Aarbecht waarden; och als sozial Kategorie fir Persounen ouni Aarbecht benotzt."
