lemma_x	pos_x	en_word_x	en_definition_x	sentence_x	code	wn_definition_x	confidence_x	lemma_y	pos_y	en_word_y	en_definition_y	sentence_y	wn_definition_y	confidence_y	lux_definition
Aarbecht	SUBST	work	employment	huet däi Brudder endlech eng Aarbecht fonnt? 	AARBECHT1UNI3	the occupation for which you are paid	0.5659403204917908	Aarbecht	SUBST	work	employment	huet däi Brudder endlech eng Aarbecht fonnt? 	be employed	0.7474806308746338	Eng Plaz hunn
Abus	SUBST	abuse	misuse	a Saache Jugendaarbecht mussen all méiglech Abuse verhënnert ginn 	ABUS1UNI1	improper or excessive use	0.6425849795341492	Abus	SUBST	abuse	misuse	a Saache Jugendaarbecht mussen all méiglech Abuse verhënnert ginn 	use wrongly or improperly or excessively	0.6524301171302795	Eppes op eng falsch, onpassend oder iwwerméisseg Manéier benotzen.
ageheien	VRB	to post	a letter	ech muss d'Bréiwer den Owend nach ageheien 	AGEHEIEN1UNI1	cause to be directed or transmitted to another place	0.3044420480728149	ageheien	VRB	to post	a letter	ech muss d'Bréiwer den Owend nach ageheien 	the delivery and collection of letters and packages	0.630477249622345	d'Liwweren an d'Ofhuele vu Bréiwer a Päck
Agrement	SUBST	licence	authorization	fir eng konventionéiert Crèche däerfen opzemaachen, brauch een en Agrement vum zoustännege Ministère 	AGREMENT1UNI1	a legal document giving official permission to do something	0.4233264923095703	Agrement	SUBST	licence	authorization	fir eng konventionéiert Crèche däerfen opzemaachen, brauch een en Agrement vum zoustännege Ministère 	authorize officially	0.727744996547699	Offiziell erlaben
Amateur	SUBST	amateur	unprofessional person	seng Aarbecht ass net ze gebrauchen, hien ass e richtegen Amateur 	AMATEUR1UNI3	an athlete who does not play for pay	0.2755531370639801	Amateur	SUBST	amateur	unprofessional person	seng Aarbecht ass net ze gebrauchen, hien ass e richtegen Amateur 	lacking professional skill or expertise	0.6048738956451416	ouni professionell Fäegkeeten oder Erfarung
änneren	VRB	to change	to alter	deen Text ass schonn zweemol geännert ginn 	ANNEREN1UNI1	cause to change; make different; cause a transformation	0.6348235011100769	änneren	VRB	to change	to alter	deen Text ass schonn zweemol geännert ginn 	the action of changing something	0.6865001320838928	d'Aktioun fir eppes anescht ze maachen
änneren	VRB	to change	to vary, to alter	eis Cheffin ännert opfälleg dacks hir Meenung 	ANNEREN1UNI2	cause to change; make different; cause a transformation	0.6221588850021362	änneren	VRB	to change	to vary, to alter	eis Cheffin ännert opfälleg dacks hir Meenung 	the result of alteration or modification	0.6789047718048096	D'Resultat vun enger Verännerung oder Upassung.
antik	ADJ	antique	old and collectable	hien huet en anticke Lüster am Gank hänken 	ANTIK1UNI1	made in or typical of earlier times and valued for its age	0.5713662505149841	antik	ADJ	antique	old and collectable	hien huet en anticke Lüster am Gank hänken 	shop for antiques	0.6216146349906921	Buttek wou een al Géigestänn ka kafen
Arrêt	SUBST	stop	halt	den Zuch mécht zu Miersch nëmmen e kuerzen Arrêt 	ARRET1UNI2	the act of stopping something	0.5422136783599854	Arrêt	SUBST	stop	halt	den Zuch mécht zu Miersch nëmmen e kuerzen Arrêt 	come to a halt, stop moving	0.6396685838699341	ophalen sech ze beweegen, stoe bleiwen
Augmentatioun	SUBST	rise	increase	hatt hätt endlech gären eng Augmentatioun vu senger Pai 	AUGMENTATIOUN1UNI1	an increase in cost	0.5988250374794006	Augmentatioun	SUBST	rise	increase	hatt hätt endlech gären eng Augmentatioun vu senger Pai 	increase in volume	0.6335985660552979	Erhéijung vum Volumen
Ausried	SUBST	excuse	justification	hatt huet no enger Ausried gesicht, fir net musse mat him an de Kino ze goen 	AUSRIED1UNI1	a defense of some offensive behavior or some failure to keep a promise etc.	0.4170759916305542	Ausried	SUBST	excuse	justification	hatt huet no enger Ausried gesicht, fir net musse mat him an de Kino ze goen 	serve as a reason or cause or justification of	0.6320908069610596	als Grond oder Erklärung fir eppes déngen
ausschëdden	VRB	to empty	a container	schëtt de Krou aus ! 	AUSSCHEDDEN1UNI1	become empty or void of its content	0.3120529949665069	ausschëdden	VRB	to empty	a container	schëtt de Krou aus ! 	a container that has been emptied	0.704635500907898	e Behälter, deen eidel gemaach gouf
auswerfen	VRB	to cast	a fishing line	d'Fëscher hunn d'Aangel ausgeworf 	AUSWERFEN1UNI1	throw forcefully	0.2031755298376083	auswerfen	VRB	to cast	a fishing line	d'Fëscher hunn d'Aangel ausgeworf 	the act of throwing a fishing line out over the water by means of a rod and reel	0.6397079229354858	d'Handlung, eng Angelschnouer mat enger Rutt an enger Roll iwwert d'Waasser ze geheien
Auteur	SUBST	author	writer	den Auteur schafft un engem neie Roman 	AUTEUR1UNI1	writes (books or stories or articles or the like) professionally (for pay)	0.6133695840835571	Auteur	SUBST	author	writer	den Auteur schafft un engem neie Roman 	be the author of	0.6955666542053223	D'Persoun sinn, déi eppes geschriwwen huet.
Aviatioun	SUBST	flying	aviation	mäi Jong ass vun der Aviatioun begeeschtert a wëllt Pilot ginn 	AVIATIOUN1UNI1	an instance of traveling by air	0.4283320605754852	Aviatioun	SUBST	flying	aviation	mäi Jong ass vun der Aviatioun begeeschtert a wëllt Pilot ginn 	operate an airplane	0.6094931364059448	E Fliger steieren an domat fléien.
awerfen	VRB	to post	a letter	vergiess net, de Bréif anzewerfen ! 	AWERFEN1UNI1	cause to be directed or transmitted to another place	0.3044420480728149	awerfen	VRB	to post	a letter	vergiess net, de Bréif anzewerfen ! 	the delivery and collection of letters and packages	0.630477249622345	D'Liwweren an Ofhuele vu Bréiwer a Päck.
baggeren	VRB	to dig	to work with a digger	um Chantier gëtt bis owes spéit gebaggert 	BAGGEREN1UNI1	create by digging	0.5582241415977478	baggeren	VRB	to dig	to work with a digger	um Chantier gëtt bis owes spéit gebaggert 	the act of digging	0.6136833429336548	d'Aktioun vum Gruewen
bäissen	VRB	to bite	to sink one's teeth in something	de Pätter kann net méi bäissen 	BAISSEN1UNI4	to grip, cut off, or tear with or as if with the teeth or jaws	0.5994161367416382	bäissen	VRB	to bite	to sink one's teeth in something	de Pätter kann net méi bäissen 	the act of gripping or chewing off with the teeth and jaws	0.6496980786323547	D'Handlung vum Gräifen oder Ofknätschen mat den Zänn an de Kiefer.
Balance	SUBST	balance	equilibrium	de Seeldänzer däerf d'Balance net verléieren, soss riskéiert en erofzefalen 	BALANCE1UNI1	a state of equilibrium	0.8279103636741638	Balance	SUBST	balance	equilibrium	de Seeldänzer däerf d'Balance net verléieren, soss riskéiert en erofzefalen 	be in equilibrium	0.8582607507705688	am Gläichgewiicht sinn
behiewen	VRB	to remedy	to rectify	et soll ee kleng Schwieregkeeten direkt behiewen 	BEHIEWEN1UNI1	provide relief for	0.4234265387058258	behiewen	VRB	to remedy	to rectify	et soll ee kleng Schwieregkeeten direkt behiewen 	act of correcting an error or a fault or an evil	0.6070860624313354	Handlung fir e Feeler, e Mangel oder eppes Schlechtes erëm gutt ze maachen.
Bemierkung	SUBST	remark	comment, observation	du hues et eraus, fir am richtege Moment déi richteg Bemierkung ze maachen! 	BEMIERKUNG1UNI2	a statement that expresses a personal opinion or belief or adds information	0.4321470856666565	Bemierkung	SUBST	remark	comment, observation	du hues et eraus, fir am richtege Moment déi richteg Bemierkung ze maachen! 	make or write a comment on	0.6109856367111206	eppes soen oder schreiwen iwwer eppes wat engem opgefall ass
benotzen	VRB	to use	to make use of	dat Wuert gëtt bal ni benotzt 	BENOTZEN1UNI1	use up, consume fully	0.5897121429443359	benotzen	VRB	to use	to make use of	dat Wuert gëtt bal ni benotzt 	the act of using	0.6653586030006409	d'Handlung, eppes anzesetzen
