lemma	pos	en_word	en_definition	de_word	de_definition	fr_word	fr_definition	sentence	code	wn_definition_en	confidence_en	wn_definition_de	confidence_de	wn_definition_fr	confidence_fr	wn_definition	definition_language	confidence	lux_definition
A	SUBST	eye	organ of sight	Auge	Sehorgan	œil	organe visuel	déi Blus passt gutt bei deng blo Aen 	A1UNI1	the organ of sight	0.9635756015777588	das Organ des Sehens	0.8011726140975952			the organ of sight	English	0.9635756015777588	d’Organ fir ze gesinn
A	SUBST	glass eye		Glasauge		œil de verre		e gliesent A ass just e kosmeeteschen Ersatz fir en A, dat e Patient verluer huet 	A1UNI6			Prothese, bestehend aus einem künstlichen Auge aus Glas	0.6289647817611694			Prothese, bestehend aus einem künstlichen Auge aus Glas	German	0.6289647817611694	Prothese, déi aus engem kënschtlechen A aus Glas besteet
Aangel	SUBST	fishing rod		Angel	Fischfanggerät	canne à pêche		kuck, wat huet deen en décke Fësch un der Aangel ! 	AANGEL1UNI1			Ausrüstung für den Fischfang	0.8050656318664551			Ausrüstung für den Fischfang	German	0.8050656318664551	Material fir Fësch ze fänken
Aarbecht	SUBST	work	workplace	Arbeit	Arbeitsort	travail	lieu de travail	ech fueren all Dag dee selwechte Wee op d'Aarbecht 	AARBECHT1UNI8	a place where work is done	0.6062594652175903			a place where work is done	0.6062594652175903	a place where work is done	English	0.6062594652175903	eng Plaz, wou ee schafft
Aarbechtsdag	SUBST	day of work		Arbeitstag		journée de travail		et deet gutt, no engem haarden Aarbechtsdag e bëssen ze raschten 	AARBECHTSDAG1UNI1			ein Tag, an dem gearbeitet wird	0.8099523782730103			ein Tag, an dem gearbeitet wird	German	0.8099523782730103	en Dag, un deem geschafft gëtt
Aarbechtsdag	SUBST	workday		Werktag		jour ouvrable		den 23. Juni ass zu Lëtzebuerg keen Aarbechtsdag 	AARBECHTSDAG1UNI2	a day on which work is done	0.6800346374511719					a day on which work is done	English	0.6800346374511719	en Dag, un deem geschafft gëtt
Aarbechtsgezei	SUBST	workwear		Arbeitskleidung		vêtements de travail (professionnels)		de Patron stellt senge Leit d'Aarbechtsgezei , den Helm an d'Schong 	AARBECHTSGEZEI1UNI1			Kleidung, die bei manueller Arbeit getragen wird	0.7755045890808105			Kleidung, die bei manueller Arbeit getragen wird	German	0.7755045890808105	Kleeder, déi bei kierperlecher Aarbecht gedroe ginn
Aarbechtsgrupp	SUBST	team		Arbeitsgruppe		groupe de travail		beim neie Projet goufen d'Iddie vun eisem Aarbechtsgrupp leider net berücksichtegt 	AARBECHTSGRUPP1UNI1			eine organisierte Gruppe von Arbeitern	0.7205816507339478			eine organisierte Gruppe von Arbeitern	German	0.7205816507339478	eng organiséiert Grupp vu Leit, déi zesummeschaffen
Aarbechtskleedung	SUBST	workwear		Arbeitskleidung		vêtements de travail (professionnels)		de Patron stellt senge Leit d'Aarbechtskleedung , den Helm an d'Schong 	AARBECHTSKLEEDUNG1UNI1			Kleidung, die bei manueller Arbeit getragen wird	0.7755045890808105			Kleidung, die bei manueller Arbeit getragen wird	German	0.7755045890808105	Kleeder, déi bei kierperlecher Aarbecht gedroe ginn
Aarbechtskraaft	SUBST	workforce	working capacity	Arbeitskraft	Leistungskraft	force de travail		Aarbechtskraaft a Kapital sinn zwee wichteg Begrëffer am Marxismus 	AARBECHTSKRAAFT1UNI1	the force of workers available	0.7135892510414124					the force of workers available	English	0.7135892510414124	d’Kraaft vun de Leit, déi fir d’Aarbecht zur Verfügung stinn
Aarbechtslosegkeet	SUBST	unemployment		Arbeitslosigkeit		chômage		vill jonk Leit hunn Angscht virun der Aarbechtslosegkeet 	AARBECHTSLOSEGKEET1UNI1			der Zustand, arbeitslos zu sein oder keine Arbeit zu haben	0.6853467226028442			der Zustand, arbeitslos zu sein oder keine Arbeit zu haben	German	0.6853467226028442	den Zoustand, keng Aarbecht ze hunn oder ouni Beschäftegung ze sinn
