lemma,pos,en_word,en_definition,de_word,de_definition,fr_word,fr_definition,sentence,code,wn_definition_en,confidence_en,wn_definition_de,confidence_de,wn_definition_fr,confidence_fr,wn_definition,definition_language,confidence,gloss
Aaschlach,SUBST,arsehole,anus,Arschloch,After,trou du cul,anus,däin Hond ass ganz wond um Aaschlach ,AASCHLACH1UNI1,vulgar slang for anus,0.6598153114318848,,,,,vulgar slang for anus,en,0.6598153114318848,"D’Ouverture um Enn vum Daarm, duerch déi de Kierper den Hocker no bausse ofgëtt."
Abberzuel,SUBST,large number (of),,Haufen,große Anzahl,tas (de),grand nombre,fir meng Hochzäit hunn ech eng Abberzuel Leit agelueden ,ABBERZUEL1UNI2,,,eine große Anzahl oder Menge,0.8691233396530151,,,eine große Anzahl oder Menge,de,0.8691233396530151,"Zuel, déi vun enger anerer Zuel ofgezu gëtt; Subtrahend."
Abildung,SUBST,illusion,false belief,Einbildung,irrige Vorstellung,illusion,croyance erronée,"hie war iwwerzeegt, hie géif gemobbt, mee et war alles nëmmen Abildung ",ABILDUNG1UNI1,something many people believe that is false,0.6606165766716003,,,something many people believe that is false,0.6606165766716003,something many people believe that is false,en,0.6606165766716003,"Eng falsch Iwwerzeegung oder Meenung iwwer eppes, déi net op der Realitéit oder op zouverlässege Fakten baséiert."
Abus,SUBST,abuse,misuse,Missbrauch,,abus,excès,a Saache Jugendaarbecht mussen all méiglech Abuse verhënnert ginn ,ABUS1UNI1,improper or excessive use,0.6425849199295044,,,,,improper or excessive use,en,0.6425849199295044,"Onrechtméissegen oder schiedleche Gebrauch vun enger Saach, Muecht oder Vertrauen."
Accès,SUBST,access,"way, entrance",Zugang,Weg,accès,voie d'accès,den Accès an d'Schigebitt ass komplett zougeschneit ,ACCES1UNI3,a way of entering or leaving,0.6635808944702148,,,,,a way of entering or leaving,en,0.6635808944702148,"Méiglechkeet oder Plaz, fir an e Gebai, op e Terrain oder zu enger Ressource eran ze kommen; Zougang."
Adventssonndeg,SUBST,Advent Sunday,,Adventssonntag,,dimanche de l'avent,,d'Kierchejoer fänkt mam éischten Adventssonndeg un ,ADVENTSSONNDEG1UNI1,,,,,the first of the four Sundays during Advent,0.7856848239898682,the first of the four Sundays during Advent,fr,0.7856848239898682,"Sonndeg an der Adventszäit, deen zu de véier Adventssonndeger viru Chrëschtdag gehéiert."
Affektatioun,SUBST,post,job,Anstellung,Stelle,emploi,embauche,ech kréien eng Affektatioun bei der Gemeng ,AFFEKTATIOUN1UNI2,a job in an organization,0.6154341697692871,,,,,a job in an organization,en,0.6154341697692871,"Iwwerdriwwen, gekënschtelt Aart a Weis sech ze ginn oder ze schwätzen, fir méi wichteg, méi fein oder méi beandrockend ze wierken, wéi een eigentlech ass."
agoen,VRB,to consider,,eingehen auf,sich auseinandersetzen mit,réfléchir à,,de Professer geet op de Schüler hir Problemer an ,AGOEN1UNI4,give careful consideration to,0.6160863637924194,,,,,give careful consideration to,en,0.6160863637924194,Verb: sech an e Raum oder an eng Situatioun eranbeweegen; erantrieden oder erakommen.
Airline,SUBST,airline,,Airline,,compagnie aérienne,,d'Airline huet zwee nei Fligere kaaft ,AIRLINE1UNI1,,,"ein gewerbliches Unternehmen, das Linienflüge für Passagiere anbietet",0.7061505317687988,,,"ein gewerbliches Unternehmen, das Linienflüge für Passagiere anbietet",de,0.7061505317687988,"Eng Gesellschaft, déi Loftverkéier bedréit an Passagéier oder Wueren mat Fligeren transportéiert."
ajustéieren,VRB,to alter,,anpassen,,ajuster,un vêtement,d'Néiesch ajustéiert der Braut hiert Kleed ,AJUSTEIEREN1UNI3,make an alteration to,0.766933023929596,nach Bedarf anfertigen,0.6075078845024109,,,make an alteration to,en,0.766933023929596,"Eppes esou astellen oder upassen, datt et genee passt oder richteg funktionéiert."
Akaf,SUBST,purchasing department,,Einkauf,Abteilung eines Unternehmens,service des achats,dans une entreprise,mäi Brudder ass vun der Vente an den Akaf gewiesselt ,AKAF1UNI2,,,,,the division of a business that is responsible for purchases,0.6493438482284546,the division of a business that is responsible for purchases,fr,0.6493438482284546,Kaf oder Akeef; den Akt oder d’Resultat vum eppes kafen (z. B. d’Akafe fir de Stot).
akafen,VRB,to do the shopping,,einkaufen,,faire des courses,,mir gi gewéinlech samschdes moies akafen ,AKAFEN1UNI2,,,sich umsehen; nicht unbedingt kaufen,0.6331753730773926,,,sich umsehen; nicht unbedingt kaufen,de,0.6331753730773926,Wueren oder Saachen am Geschäft oder online kafen; akafe goen.
Akafspräis,SUBST,purchase price,,Einkaufspreis,,prix d'achat,,"d'Geschäftsfra probéiert, fir en nidderegen Akafspräis erauszeschloen ",AKAFSPRAIS1UNI1,,,"der Preis, zu dem etwas tatsächlich gekauft wird",0.7297069430351257,the price at which something is actually purchased,0.6691994667053223,"der Preis, zu dem etwas tatsächlich gekauft wird",de,0.7297069430351257,"De Präis, zu deem eng Firma oder eng Persoun eng Wuer oder eng Leeschtung akaf (den ursprénglechen Akaafskäschtepräis), ier se weiderverkaaft oder benotzt gëtt."
Aktualitéit,SUBST,news,,Aktualitäten,,actualités,événements du jour,d'Aktualitéite vum Dag ginn owes op der Televisioun gewisen ,AKTUALITEIT1UNI2,,,,,a short news announcement concerning some on-going news story,0.6533655524253845,a short news announcement concerning some on-going news story,fr,0.6533655524253845,"Eppes, wat grad elo geschitt oder wichteg ass; d’Neiegkeeten an d’Theemen, déi am Moment am Mëttelpunkt stinn."
All,SUBST,space,universe,Weltall,,univers,,d'Astronauten hu sech mat hirer Rakéit op de Wee an den All gemaach ,ALL1UNI1,the unlimited expanse in which everything is located,0.6061729192733765,,,,,the unlimited expanse in which everything is located,en,0.6061729192733765,"D’Gesamtheet vun allem wat existéiert, inklusiv Raum, Zäit, Matière, Energie an all Liewensformen."
alternativ,ADJ,alternative,offering a choice,alternativ,,alternatif,offrant un choix,mir kruten zwou alternativ Propositioune gemaach ,ALTERNATIV1UNI2,necessitating a choice between mutually exclusive possibilities,0.6188945770263672,,,necessitating a choice between mutually exclusive possibilities,0.618894636631012,necessitating a choice between mutually exclusive possibilities,en,0.6188945770263672,"Eng Optioun oder Méiglechkeet, déi als aner Wiel zu eppes Bestehendem ugebuede gëtt."
Altess,SUBST,Highness,,Hoheit,Adel,altesse,,Hir Kinneklech Altess huet sech op der Plaz iwwer d'Aarbechten informéiert ,ALTESS1UNI1,(Your Highness or His Highness or Her Highness) title used to address a royal person,0.63889080286026,,,,,(Your Highness or His Highness or Her Highness) title used to address a royal person,en,0.63889080286026,"Eeler, al Zäit; d’Vergaangenheet oder eng fréier Period."
alueden,VRB,to invite,,einladen,bitten zu kommen,inviter,convier,deen Owend war ech bei Bekannten agelueden ,ALUEDEN1UNI1,,,zum Eintritt auffordern,0.8208734393119812,,,zum Eintritt auffordern,de,0.8208734393119812,"Eng Persoun oder Saach op eng Plaz oder bei eng Aktivitéit bieden, fir datt si kënnt oder matmécht."
Angine,SUBST,tonsillitis,,Rachenentzündung,,angine,,"zënter hire Klengen d'Mandelen erausgeholl krut, hat hie keng Anginne méi ",ANGINE1UNI1,inflammation of the tonsils (especially the palatine tonsils),0.7572758197784424,,,,,inflammation of the tonsils (especially the palatine tonsils),en,0.7572758197784424,"Entzündung vun de Mandelen an dem Halsberäich, déi meeschtens mat staarke Halswéi, Schluckbeschwéieren a Féiwer verbonnen ass."
animéieren,VRB,to motivate,,animieren,,animer,,"mir hoffen, datt d'Moossnam d'Leit derzou animéiere kann, eppes un hirem Verhalen ze änneren ",ANIMEIEREN1UNI1,give an incentive for action,0.6002293825149536,,,,,give an incentive for action,en,0.6002293825149536,"Eppes oder een animéieren heescht Liewen, Beweegung oder Stëmmung eranbréngen, z. B. eng Grupp motivéieren an ufeieren oder eng Aktivitéit/Veranstaltung leeden an ënnerhalen."
änneren,VRB,to change,to alter,verändern,,changer,modifier,deen Text ass schonn zweemol geännert ginn ,ANNEREN1UNI1,cause to change; make different; cause a transformation,0.6348236799240112,eine Veränderung herbeiführen; anders machen; eine Umwandlung bewirken,0.758751392364502,,,cause to change; make different; cause a transformation,en,0.6348236799240112,Eppes anescht maachen oder upassen; eng Verännerung un eppes virhuelen.
annuléieren,VRB,to quash,,aufheben,,annuler,,d'Geriicht huet d'Urteel annuléiert ,ANNULEIEREN1UNI2,,,trennen oder entfernen,0.6883649826049805,,,trennen oder entfernen,de,0.6883649826049805,"Eppes offiziell zréckzéien oder ongëlteg maachen, sou datt et net méi gëllt."
Antiquaire,SUBST,antique dealer,,Antiquitätenhändler,,antiquaire,,ech hu gëschter beim Antiquaire e schéine Schaf gesinn ,ANTIQUAIRE1UNI1,,,,,an expert or collector of antiquities,0.6030173897743225,an expert or collector of antiquities,fr,0.6030173897743225,"Persoun oder Geschäft, dat mat Antiquitéiten handelt, se keeft a verkeeft oder se schätzt."
antrieden,VRB,to take place,,eintreten,,arriver,,"et sinn Evenementer agetrueden , déi mir net virausgesinn haten ",ANTRIEDEN1UNI1,,,hineingehen oder hineingehen,0.6896217465400696,,,hineingehen oder hineingehen,de,0.6896217465400696,"Eng Plaz, eng Funktioun oder eng Aufgab offiziell iwwerhuelen an domat ufänken, se auszeüben."
Applikatioun,SUBST,application,,Fleiß,,application,,seng Applikatioun ass mat enger Primm belount ginn ,APPLIKATIOUN1UNI3,,,eine fleißige Bemühung,0.6121395826339722,,,eine fleißige Bemühung,de,0.6121395826339722,"Programm oder Uwendung, déi op engem Computer, Smartphone oder an engem anere System leeft, fir eng bestëmmten Aufgab ze erfëllen."
archeologesch,ADJ,archaeological,,archäologisch,,archéologique,,bei archeologeschen Ausgruewunge si Reschter vun engem anticken Tempel fonnt ginn ,ARCHEOLOGESCH1UNI1,related to or dealing with or devoted to archaeology,0.6780866384506226,,,related to or dealing with or devoted to archaeology,0.6780866384506226,related to or dealing with or devoted to archaeology,en,0.6780866384506226,Op d’Archäologie bezunn; d’Ausgruewungen an d’wëssenschaftlech Ënnersichung vu Reschter aus vergaangene Kulturen a Zäiten betreffend.
architektonesch,ADJ,architectural,,architektonisch,baulich,architectural,,um architektonesche Plang ass un dësem Bau näischt auszesetzen ,ARCHITEKTONESCH1UNI1,of or pertaining to the art and science of architecture,0.6065497398376465,,,of or pertaining to the art and science of architecture,0.6065497398376465,of or pertaining to the art and science of architecture,en,0.6065497398376465,Op d’Architektur bezunn; d’Gestaltung an d’Struktur vu Gebaier a bauliche Wierker betreffend.
Argentinier,SUBST,Argentinian,,Argentinier,,Argentin,,mäi beschte Frënd ass Argentinier ,ARGENTINIER1UNI1,a native or inhabitant of Argentina,0.635509729385376,,,a native or inhabitant of Argentina,0.6355096101760864,a native or inhabitant of Argentina,en,0.635509729385376,Persoun aus Argentinien oder mat argentinescher Nationalitéit.
Arrhythmie,SUBST,arrhythmia,,Arrhythmie,,arythmie (cardiaque),,nom Test krut ech vun der Häerzdoktesch eng geféierlech Arrhythmie diagnostizéiert ,ARRHYTHMIE1UNI1,an abnormal rate of muscle contractions in the heart,0.6007511615753174,,,,,an abnormal rate of muscle contractions in the heart,en,0.6007511615753174,"Stéierung vum Häerzrhythmus, bei där d’Häerz onreegelméisseg, ze séier oder ze lues schléit."
Aschränkung,SUBST,limitation,,Einschränkung,Beschränkung,limitation,,de ville Kaméidi laanscht d'Haaptstrooss bedeit eng Aschränkung vun der Liewensqualitéit ,ASCHRANKUNG1UNI2,the quality of being limited or restricted,0.6024796962738037,"eine Regel oder Bedingung, die die Freiheit einschränkt",0.6688324809074402,the quality of being limited or restricted,0.6024796962738037,the quality of being limited or restricted,en,0.6024796962738037,"Eng Aschränkung ass eng Begrenzung oder Restriktioun, déi d’Fräiheet, d’Méiglechkeeten oder d’Handlungsraum vun enger Persoun, Aktivitéit oder Situatioun reduzéiert."
asetzen,VRB,to fit,in a text,einsetzen,,insérer,,"brauchs de Hëllef, fir déi nei Fënster anzesetzen ? ",ASETZEN1UNI4,,,"einführen, verordnen oder einrichten",0.6583283543586731,,,"einführen, verordnen oder einrichten",de,0.6583283543586731,"Eppes an e Text oder Dokument afügen oder integréieren, fir et op der richteger Plaz mat anzebauen."
aspären,VRB,to lock up,,einsperren,,enfermer,,de Verbriecher ass fir fënnef Joer agespaart ginn ,ASPAREN1UNI2,,,,,"lock up or confine, in or as in a jail",0.6764053106307983,"lock up or confine, in or as in a jail",fr,0.6764053106307983,"Eppes oder een ofspären; zoumaachen an duerch e Schloss, e Riegel oder eng aner Spär géint den Zougang sécheren."
ausbauen,VRB,to remove,,ausbauen,,extraire,,mir bauen d'Batterie vun Ärem Auto aus an ersetze se duerch eng nei ,AUSBAUEN1UNI1,,,fortsetzen oder erweitern,0.6570509076118469,,,fortsetzen oder erweitern,de,0.6570509076118469,"Eppes ausbauen heescht e Bestanddeel oder eng Installatioun aus engem Ganzen eraushuelen an ofmontéieren, fir et z’ersetzen, ze reparéieren oder ewechzehuelen."
aushalen,VRB,to support,a weight,aushalten,"tragen, widerstehen",supporter,ne pas céder,d'Dunn hält e Gewiicht vun e puer Tonnen aus ,AUSHALEN1UNI1,,,sich mutig stellen und widerstehen,0.6233259439468384,,,sich mutig stellen und widerstehen,de,0.6233259439468384,"E Gewiicht oder eng Laascht droen an et iwwer eng Zäit laang ausstoen, ouni nozeloossen."
ausheelen,VRB,to heal,,ausheilen,vollständig heilen,guérir,complètement,"et huet e puer Woche gedauert, bis meng Bronchite ganz ausgeheelt war ",AUSHEELEN1UNI2,heal or recover,0.6212884187698364,,,,,heal or recover,en,0.6212884187698364,Eppes oder eng Wonn komplett heele loossen; erëm ganz gesond ginn.
auslueden,VRB,to offload,cargo,ausladen,,décharger,un chargement,zu dräi hate mer d'Këschte séier ausgelueden ,AUSLUEDEN1UNI2,,,auslaufen oder entladen,0.7167792320251465,,,auslaufen oder entladen,de,0.7167792320251465,"Wueren oder Laascht aus engem Gefier, Container oder Lager eraushuelen an oflueden."
Autobiografie,SUBST,autobiography,,Autobiografie,,autobiographie,,d'Autobiografië vu Perséinlechkeete verkafe sech gutt ,AUTOBIOGRAFIE1UNI1,a biography of yourself,0.716231644153595,,,,,a biography of yourself,en,0.716231644153595,"Schrëftlech Erzielung vum eegene Liewen, déi eng Persoun selwer verfaasst."
automatesch,ADJ,inevitable,,automatisch,,automatique,,"wie vill fëmmt, ruinéiert automatesch seng Gesondheet ",AUTOMATESCH1UNI4,,,durch Automatisierung betrieben,0.6880775690078735,,,durch Automatisierung betrieben,de,0.6880775690078735,"Op eng Manéier, déi ouni bewosst Iwwerleeung oder ouni mënschlecht Agräife geschitt; vun enger Maschinn oder engem System selwerstänneg gesteiert."
Automobilist,SUBST,driver,,Autofahrer,,automobiliste,,"den Automobilist krut e Protokoll, well en ze séier duerch d'Uertschaft gefuer ass ",AUTOMOBILIST1UNI1,the operator of a motor vehicle,0.6120964884757996,,,,,the operator of a motor vehicle,en,0.6120964884757996,"Persoun, déi en Auto fiert oder als Chauffeur mam Auto ënnerwee ass."
averstanen,ADJ,in agreement (with),,einverstanden,,d'accord (avec),,mir si mat allem averstanen ,AVERSTANEN1UNI1,,,Ausdruck für das Einverständnis,0.6698354482650757,,,Ausdruck für das Einverständnis,de,0.6698354482650757,Partizip Perfekt vu „averstoen“: eppes verstanen oder begräifen; och als Äntwert am Sënn vun „verstanen/ok“.
Awand,SUBST,objection,,Einwand,,objection,,dem Architekt seng Awänn wäerten um neie Bauplang berücksichtegt ginn ,AWAND1UNI1,the speech act of objecting,0.6182448863983154,,,the speech act of objecting,0.6182448863983154,the speech act of objecting,en,0.6182448863983154,"Zäit vum Dag tëscht dem spéiden Nomëtteg an der Nuecht, wann et lues däischter gëtt."
bäisetzen,VRB,to add,,(als Ergänzung) hinzufügen,,ajouter,mettre en plus,am Reglement ass nach e Paragraf bäigesat ginn ,BAISETZEN1UNI2,,,,,add to the end,0.6374274492263794,add to the end,fr,0.6374274492263794,"Eppes oder een dobäileeën, derbäisetzen oder als Zousaz/Beilag bäifügen."
Ballad,SUBST,ballad,poem,Ballade,Gedicht,ballade,poème,"wann ech déi Ballad liesen, ginn ech ganz melancholesch ",BALLAD1UNI1,a narrative poem of popular origin,0.6090028882026672,,,,,a narrative poem of popular origin,en,0.6090028882026672,"E Ballad ass e narratiivt Gedicht, dat eng Geschicht erzielt, dacks mat dramateschem oder trageschem Inhalt, a meeschtens a Strophen a Reimform geschriwwen."
Ballon,SUBST,hot-air balloon,,Ballon,,ballon,,ech géif gären eng Kéier mam Ballon iwwer d'Stad fléien ,BALLON1UNI1,,,,,balloon for travel through the air in a basket suspended below a large bag of heated air,0.7496355772018433,balloon for travel through the air in a basket suspended below a large bag of heated air,fr,0.7496355772018433,"E liichten, meeschtens ronnen Objet aus Gummi oder Plastik, dee mat Loft oder Gas gefëllt gëtt a fir ze spillen oder als Dekoratioun benotzt gëtt."
Bancomat,SUBST,cash dispenser,,Geldautomat,,distributeur (automatique) de billets,,de Bancomat huet meng Kaart agehalen ,BANCOMAT1UNI1,,,"ein unbeaufsichtigter Automat (außerhalb einiger Banken), der Geld ausgibt, wenn eine persönliche codierte Karte verwendet wird",0.6352986693382263,,,"ein unbeaufsichtigter Automat (außerhalb einiger Banken), der Geld ausgibt, wenn eine persönliche codierte Karte verwendet wird",de,0.6352986693382263,"Automat, wou een mat enger Bankkaart Sue kann ofhiewen an heiansdo och aner Banktransaktioune maachen."
Band,SUBST,gang,group of criminals,Bande,Verbrecher,bande,gang,eng Band Täschendéif mécht d'Stad onsécher ,BAND2UNI2,an association of criminals,0.8289495706558228,,,,,an association of criminals,en,0.8289495706558228,"Organiséiert Grupp vu Kriminellen, déi zesumme Verbrieche plangt oder ausféiert."
Bandage,SUBST,bandage,,Bandage,Verband,bandage,pansement,den Infirmier huet de Bandage mat vill Geschéck lassgewéckelt ,BANDAGE1UNI1,,,,,the act of applying a bandage,0.7302044630050659,the act of applying a bandage,fr,0.7302044630050659,"Sträif aus Stoff oder elasteschem Material, deen ëm eng Wonn oder e verletzte Kierperdeel gewéckelt gëtt, fir ze schützen, ze fixéieren oder ze stäipen."
Batterie,SUBST,battery,military subunit,Batterie,militärische Einheit,batterie,unité militaire,hien huet de Kommando iwwer eng Batterie ,BATTERIE1UNI2,,,Zusammenführung der militärischen Kräfte,0.7187916040420532,,,Zusammenführung der militärischen Kräfte,de,0.7187916040420532,"Militäresch Eenheet vun der Artillerie, déi aus e puer Geschëtzer oder Rakéiten-Ofschossgeräter mat hirem Personal a Material besteet an zesumme fir d’Feierënnerstëtzung agesat gëtt."
Bau,SUBST,building,structure,Bau,,bâtiment,édifice,den neie Bau ass gëschter ageweit ginn ,BAU1UNI3,,,"Aufbauen, Errichten oder Herstellen",0.6426156759262085,,,"Aufbauen, Errichten oder Herstellen",de,0.6426156759262085,"Eng Konstruktioun oder Gebai; d’Art a Weis, wéi eppes opgebaut oder zesummegesat ass."
beaarbechten,VRB,to work on,to deal with,bearbeiten,"sich befassen mit, verändern",s'occuper de,,ech muss deen Dossier haut nach beaarbechten ,BEAARBECHTEN1UNI1,,,,,begin to deal with,0.6376792192459106,begin to deal with,fr,0.6376792192459106,"Eng Aufgab, e Sujet oder e Problem behandelen an dorunner schaffen, fir et ze verstoen, ze veränneren oder ze léisen."
Beamer,SUBST,projector,,Beamer,,vidéoprojecteur,,kann ech mäin eegene Laptop un de Beamer uschléissen? ,BEAMER1UNI1,an optical instrument that projects an enlarged image onto a screen,0.6135698556900024,,,,,an optical instrument that projects an enlarged image onto a screen,en,0.6135698556900024,"Apparat, deen e Bild oder eng Presentatioun vun engem Computer oder anere Signalquell op eng Leinwand oder Mauer projizéiert (Videoprojektor)."
Beiebitt,SUBST,beehive,,Bienenstock,,ruche,abri,"mäi Kolleeg, deen Hunneg mécht, huet e puer vu senge Beiebitten an eisem Bongert opgestallt ",BEIEBITT1UNI1,a hairdo resembling a beehive,0.6686875820159912,,,,,a hairdo resembling a beehive,en,0.6686875820159912,"Klengt, meeschtens onopfällegt Insekt, dat sech a Bléien ophält an heiansdo mat enger Bee verwiesselt gëtt."
bekennen,VRB,to confess,to admit to,bekennen,,confesser,,an der Beicht bekennt e Gleewegen seng Sënnen ,BEKENNEN1UNI1,admit (to a wrongdoing),0.7572917342185974,zugeben (ein Fehlverhalten),0.6060770750045776,admit or acknowledge a wrongdoing or error,0.6205898523330688,admit (to a wrongdoing),en,0.7572917342185974,"Eppes zouginn oder offiziell erkläeren, datt een eppes gemaach huet oder datt eppes wouer ass."
Beleuchtung,SUBST,illumination,,Beleuchtung,,éclairage,effet,eng schéi Beleuchtung kann e Monument valoriséieren ,BELEUCHTUNG1UNI2,,,mit reichlich Licht oder Erleuchtung,0.7963683605194092,,,mit reichlich Licht oder Erleuchtung,de,0.7963683605194092,"D’Beliichtung; d’Liicht, dat e Raum, eng Plaz oder en Objet hell mécht, oder d’Ausrüstung an d’Moossnamen, déi dofir suergen."
bemängelen,VRB,to criticize,,bemängeln,,critiquer,"un défaut, un manque",bis elo hate mir um Chantier vun eisem neien Haus net vill ze bemängelen ,BEMANGELEN1UNI1,act as a critic,0.7435346245765686,,,,,act as a critic,en,0.7435346245765686,Eppes kritiséieren oder als net zefriddestellend umerken; e Manktem oder Feeler un eppes feststellen an ausdrécklech drop hiweisen.
Bensinnspompel,SUBST,petrol pump,,Zapfsäule,,pompe à essence,d'une station-service,op där neier Tankstell gëtt et zéng Bensinnspompelen ,BENSINNSPOMPEL1UNI1,,,,,a pump in a service station that draws gasoline from underground storage tanks,0.6722585558891296,a pump in a service station that draws gasoline from underground storage tanks,fr,0.6722585558891296,"Eng Anlag oder Plaz, wou Bensinn (a meeschtens och aner Brennstoffer) u Gefierer ofginn a getankt gëtt."
